Séquentiel,"Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?",alternatives
2,Sans wikipédia,wikipedia
3,Sur Wikipédia,wikipedia
4,Wikipédia,wikipedia
5,Wikipédia,wikipedia
7,Wikipedia,wikipedia
8,Dicoado.org,dicoado.org
9,Wikipedia,wikipedia
10,Wikipédia,wikipedia
11,Wikipedia et les livres,wikipedia
11,Wikipedia et les livres,livres
12,Wikipédia,wikipedia
13,Sur Wikipédia,wikipedia
14,Je vais sur Wikipédia.,wikipedia
15,"D'autres wikis (wikipédia, wiktionnaire, etc.)",autre
15,"D'autres wikis (wikipédia, wiktionnaire, etc.)",wikipedia
16,wikipedia,wikipedia
18,Wikipédia,wikipedia
19,Google,google
20,Wikipédia,wikipedia
21,"Wikipédia, puis les sources de Wikipédia.",wikipedia
21,"Wikipédia, puis les sources de Wikipédia.",wikipedia
22,Sur Wikipédia,wikipedia
23,Sur Wikipédia,wikipedia
24,Wikipedia,wikipedia
25,Sur wikipédia,wikipedia
26,Wikipedia,wikipedia
27,"sur des sites """"spécialisé"""" (pas exempla, si je cherche une info sur Paris, je vais chercher sur un site """"spécialisé"""" sur Paris), sur Wikimini ou dans le pire des cas sur Wikipédia",wikimini
27,"sur des sites """"spécialisé"""" (pas exempla, si je cherche une info sur Paris, je vais chercher sur un site """"spécialisé"""" sur Paris), sur Wikimini ou dans le pire des cas sur Wikipédia",wikipedia
28,Je regarde si l infos est dites sur d autre site,autre
29,Wikipedia,wikipedia
30,Dans des livres ou je recherche sur internet,livres
30,Dans des livres ou je recherche sur internet,internet
31,Wikipedia,wikipedia
32,Wikipédia ou Google,wikipedia
32,Wikipédia ou Google,google
34,Wikipedia,wikipedia
35,Wikipedia,wikipedia
36,Wikipédia,wikipedia
37,Sur Wikipédia,wikipedia
38,Internet,internet
39,"Wikipédia, documentation en ligne (programmation), recherche Google",wikipedia
39,"Wikipédia, documentation en ligne (programmation), recherche Google",google
40,Wikipédia,wikipedia
41,Mon dictionnaire,dictionnaire
42,wikimini,wikimini
44,Wikipédia,wikipedia
45,Je retourne sur Wikipedia,wikipedia
46,Wikipedia,wikipedia
47,Wikipedia,wikipedia
48,Je cherche simplement au gré de ce que me propose internet,internet
49,"Wikipédia, Dicoado, Wiktionnaire",wikipedia
50,Wikipédia,wikipedia
51,Internet,internet
52,Sur le net,net
54,Wikipedia,wikipedia
55,wikipédia,wikipedia
57,Wikipedia (En anglais),wikipedia
60,Wikipedia,wikipedia
61,Google,google
62,wikipédia,wikipedia
64,Wikipédia,wikipedia
66,Wikipédia,wikipedia
67,Wikipedia,wikipedia
68,Wikipedia,wikipedia
70,Retour sur le moteur de recherche,moteur de recherche
72,Wikipédia,wikipedia
73,Wikipedia,wikipedia
74,"wikipédia, autres encyclopédies",wikipedia
74,"wikipédia, autres encyclopédies",autre
74,"wikipédia, autres encyclopédies",encyclopedie
75,google,google
76,Wikipedia,wikipedia
77,Wikipédia,wikipedia
78,Wikipedia,wikipedia
79,wikipedia,wikipedia
80,Wikipédia ou Treccani,wikipedia
81,sur Google,google
82,wikipedia,wikipedia
83,Wikipédia ou autres sites spécialisés,wikipedia
83,Wikipédia ou autres sites spécialisés,autre
84,Wikipédia,wikipedia
86,wikipédia,wikipedia
87,Wikipédia,wikipedia
88,Wikipédia,wikipedia
89,wikipedia,wikipedia
90,Wikipedia ou autres sites,wikipedia
90,Wikipedia ou autres sites,autre
91,WIKIPEDIA,wikipedia
92,Google,google
93,Wikipedia,wikipedia
94,Google,google
95,Wikipedia,wikipedia
96,wikipedia,wikipedia
97,sur d'autres sites internet ou dans des manuels,autre
97,sur d'autres sites internet ou dans des manuels,internet
98,Wikipedia,wikipedia
99,wikipédia,wikipedia
100,wikipedia,wikipedia
101,Wikipedia,wikipedia
102,Sur google,google
103,Wikipedia,wikipedia
104,Wikimini ou Wikipedia,wikimini
104,Wikimini ou Wikipedia,wikipedia
105,"Sur Wikipédia, généralement.",wikipedia
106,google,google
107,je cherche sur google d'autres sites,google
107,je cherche sur google d'autres sites,autre
108,Google,google
109,A la bibliothèque,bibliotheque
110,Wikipédia,wikipedia
111,"Wikipédia, doctissimo et un peu partout sur internet",wikipedia
111,"Wikipédia, doctissimo et un peu partout sur internet",internet
112,Wikipedia,wikipedia
113,Wikipédia,wikipedia
114,Google,google
115,Wikipedia,wikipedia
116,wikipédia,wikipedia
117,Wikipedia,wikipedia
119,wikipédia,wikipedia
121,Wikipédia et autres,wikipedia
121,Wikipédia et autres,autre
122,Wikipédia,wikipedia
123,Sur d'autre site web en priorite sur Wikipedia,autre
123,Sur d'autre site web en priorite sur Wikipedia,wikipedia
124,"Sur d'autres sites, surtout reconnus",autre
125,Wikipedia mais cela dépend de ma recherche,wikipedia
125,Wikipedia mais cela dépend de ma recherche,ça depend
126,Wikipedia,wikipedia
128,Sur un dictionnaire papier,dictionnaire
129,Je cherche sur google et je trouve,google
130,Wikipedia,wikipedia
133,Wikipédia,wikipedia
135,Wikipédia,wikipedia
136,Wikipedia,wikipedia
137,Wikipédia.,wikipedia
138,"Wikipédia, autres...",wikipedia
138,"Wikipédia, autres...",autre
140,Wikipédia,wikipedia
141,Wikipedia,wikipedia
142,wikipédia,wikipedia
144,Wikipedia ou des sites spécialisés,wikipedia
145,Sur Wikipédia.,wikipedia
146,Sur wikipédia,wikipedia
149,Wikipedia,wikipedia
150,ecosia,ecosia
151,Wikipedia,wikipedia
152,Wikipedia,wikipedia
153,dans les livres d'éducation,livres
154,Sur Wikipedia,wikipedia
156,Wikipedia,wikipedia
158,Wikipedia,wikipedia
159,Sur le net,net
160,Wikipedia,wikipedia
161,Des recherches sur Google,google
162,Wikipédia,wikipedia
163,internet,internet
164,sur le net,net
165,Wikipedia,wikipedia
166,Wikipédia,wikipedia
167,sur wikipedia,wikipedia
168,Dans les livres,livres
170,ça dépend,ça depend
171,sur Wikipédia je ne connais pas la différence avec vikidia???,wikipedia
174,Wikipédia,wikipedia
176,Wikipedia,wikipedia
178,Wikipedia est le moteur de recherche de départ,wikipedia
178,Wikipedia est le moteur de recherche de départ,moteur de recherche
179,"Wikipédia ou Wikipedia - je suis australienne, tutrice d'enfants anglophones qui apprennent le français.",wikipedia
179,"Wikipédia ou Wikipedia - je suis australienne, tutrice d'enfants anglophones qui apprennent le français.",wikipedia
180,Wikipedia,wikipedia
181,Wikipédia / Google.,wikipedia
181,Wikipédia / Google.,google
182,wikimini,wikimini
183,Wikipedia,wikipedia
185,Je regarde dans des livres,livres
186,Je regarde dans des livres,livres
187,Wikipédia,wikipedia
189,wikipedia,wikipedia
190,youtube,youtube
191,Recherche Google,google
192,"Wikipedia, Wiktionary",wikipedia
195,Wikipédia,wikipedia
196,Wikipedia,wikipedia
197,Sur d'autres sites internet entre autres wikipédia,autre
197,Sur d'autres sites internet entre autres wikipédia,internet
197,Sur d'autres sites internet entre autres wikipédia,autre
197,Sur d'autres sites internet entre autres wikipédia,wikipedia
198,wikipedia,wikipedia
199,wikipedia,wikipedia
201,Wikipedia / Google,wikipedia
201,Wikipedia / Google,google
202,wikimini,wikimini
204,Sur Wikimini,wikimini
205,Wikipedia,wikipedia
206,Dictionnaire,dictionnaire
208,Sur des sites de soutien scolaire ou Wikipedia,wikipedia
210,Wikipédia,wikipedia
211,Wikipédia,wikipedia
213,wikipedia ou un site grace aux liens externes à la fin des articles,wikipedia
214,wikipedia,wikipedia
215,Wikipedia,wikipedia
216,le moteur de recherche Google,moteur de recherche
216,le moteur de recherche Google,google
217,Wikipédia,wikipedia
218,"Youtube,Wikipédia",youtube
218,"Youtube,Wikipédia",wikipedia
219,Sur kikourou,kikourou
220,Wiki ou n’importe quel autre site,autre
221,Wikipédia,wikipedia
222,Wikipédia,wikipedia
223,Wikipedia,wikipedia
224,Wikipédia,wikipedia
225,d'autres sites scientifiques,autre
226,Google,google
227,Sur Wikipédia,wikipedia
228,Au bibliothèque pour rechercher,bibliotheque
229,Google,google
230,Wikipedia,wikipedia
231,wikipedia,wikipedia
232,Wikipédia,wikipedia
233,Encyclopédie en ligne - Wikipedia / Larousse …,encyclopedie
233,Encyclopédie en ligne - Wikipedia / Larousse …,wikipedia
233,Encyclopédie en ligne - Wikipedia / Larousse …,larousse
236,Wikipédia,wikipedia
237,Wikipedia,wikipedia
238,Wikipedia,wikipedia
239,Wikipédia,wikipedia
240,Sur Wikipédia,wikipedia
241,Wikipedia,wikipedia
242,Wikipédia,wikipedia
245,Wikipédia,wikipedia
246,Wikipedia,wikipedia
247,Google,google
248,Wikipedia,wikipedia
249,Autre site,autre
250,"Wikipedia, le Monde...",wikipedia
252,Wikipédia,wikipedia
253,Wikipédia,wikipedia
254,wikipédia,wikipedia
255,Google,google
256,wikipedia,wikipedia
257,Dans le dictionnaire,dictionnaire
258,Wikipedia,wikipedia
259,Wikipedia,wikipedia
261,"Sur Wikipedia direct ou sur d'autres sites, puis je mets ces infos sur Vikidia si g le temps",wikipedia
261,"Sur Wikipedia direct ou sur d'autres sites, puis je mets ces infos sur Vikidia si g le temps",autre
262,Wikipédia,wikipedia
263,Sur Google,google
264,Wikipedia,wikipedia
265,wikimini,wikimini
266,Wikipedia,wikipedia
267,Google,google
268,Google,google
271,Wikipedia,wikipedia
272,sur les fandom,fandom
273,Wikipédia,wikipedia
274,J'essaye de trouver d'autres sites sur internet.,autre
274,J'essaye de trouver d'autres sites sur internet.,internet
275,Wikipedia,wikipedia
276,Wikipedia,wikipedia
277,Wikipédia,wikipedia
278,Wikipedia.,wikipedia
279,wikipedia,wikipedia
280,wikipedia,wikipedia
281,wikipedia,wikipedia
282,Wikipédia,wikipedia
283,Wikipédia,wikipedia
284,wikipédia,wikipedia
286,Sur d'autres sites,autre
287,Wikipedia,wikipedia
288,wikipédia,wikipedia
289,Wikipédia,wikipedia
290,Wikipedia,wikipedia
291,Wikipédia,wikipedia
292,Wikipedia,wikipedia
294,persée,persee
295,Wikipedia,wikipedia
297,Selon mon moteur de recherche,moteur de recherche
298,Wikipedia,wikipedia
299,wikipédia,wikipedia
300,Wikipedia ou recherche google,wikipedia
300,Wikipedia ou recherche google,google
301,Wikipedia,wikipedia
302,Wikipedia,wikipedia
303,Wikipédia,wikipedia
304,Wikipedia,wikipedia
305,Dans des Fandom,fandom
307,"Wikipédia, Google",wikipedia
307,"Wikipédia, Google",google
308,Wikipedia,wikipedia
309,Wikipedia,wikipedia
310,Wikipedia,wikipedia
311,Internet,internet
312,wikipedia,wikipedia
313,Wikipedia ou sites éducatifs,wikipedia
314,Wikipedia et Google,wikipedia
314,Wikipedia et Google,google
315,"je cherche pas principalement sur vikidia, je suis les liens donnés sur google. je vais en priorité sur wikipédia la plupart du temps",google
315,"je cherche pas principalement sur vikidia, je suis les liens donnés sur google. je vais en priorité sur wikipédia la plupart du temps",wikipedia
316,Wikipedia,wikipedia
318,Wikipedia,wikipedia
320,Wikipedia,wikipedia
321,wikipédia,wikipedia
322,"Wikipédia, encyclopédie Larousse.",wikipedia
322,"Wikipédia, encyclopédie Larousse.",encyclopedie
322,"Wikipédia, encyclopédie Larousse.",larousse
323,Wikipedia,wikipedia
324,Wikipedia.,wikipedia
325,Wikipédia,wikipedia
326,Wikipédia et des sites dédiés à ma recherche spécialisée.,wikipedia
327,Wikipedia,wikipedia
328,"Wikipédia, son grand-frère.",wikipedia
330,WIKIPEDIA,wikipedia
331,wikipédia ou des sites spécialisés dans le domaine recherché,wikipedia
333,,
334,Wikipédia,wikipedia
335,je vas rechercher un autre site,autre
336,dans une encyclopédie spécialisée (e.g. Oxford companion).,encyclopedie
338,wikipedia,wikipedia
339,Wikimini ou Wikipedia,wikimini
339,Wikimini ou Wikipedia,wikipedia
341,Wikipédia,wikipedia
342,"Internet et livres de referances, puis croisement d'information pour recoupement.",internet
342,"Internet et livres de referances, puis croisement d'information pour recoupement.",livres
343,Wikipédia,wikipedia
344,Wikipédia,wikipedia
345,Wikipedia,wikipedia
346,INTERNET,internet
347,Wikipédia,wikipedia
348,Sur Wikipédia.,wikipedia
349,Sur d'autres sites,autre
350,Wikipedia,wikipedia
351,wikipédia,wikipedia
352,wikipédia,wikipedia
353,wikipédia ou google,wikipedia
353,wikipédia ou google,google
354,Wikipedia,wikipedia
355,Google,google
356,internet,internet
357,"wiki, internet, relations",internet
358,wikipedia,wikipedia
359,Wikipédia,wikipedia
361,dans mon dictionnaire,dictionnaire
362,Google,google
366,google,google
367,Wikipédia,wikipedia
368,Wikipédia,wikipedia
370,Sur Wikipédia,wikipedia
371,Wikipédia,wikipedia
372,je navigue sur internet,internet
373,wikipedia,wikipedia
375,wikipédia,wikipedia
376,ca depend,ça depend
377,Wikipedia,wikipedia
378,sur un autre site,autre
382,Wikipédia ou sur d'autres sites,wikipedia
382,Wikipédia ou sur d'autres sites,autre
383,Sur Wikipédia,wikipedia
384,Wikipedia,wikipedia
385,Larousse,larousse
386,sur wikipedia et je cree la page manquante,wikipedia
388,Wikipédia,wikipedia
389,Sur Wikipédia,wikipedia
390,"Dépend du sujet, de la quantité d'informations demandée",ça depend
391,su Wikipedia,wikipedia
392,sur Wikipédia,wikipedia
394,wikipédia,wikipedia
396,google wikipédia ou autre site,google
396,google wikipédia ou autre site,wikipedia
396,google wikipédia ou autre site,autre
397,wikipédia,wikipedia
400,wikipedia,wikipedia
401,Wikipedia,wikipedia
402,Wikipedia,wikipedia
403,Wikipédia,wikipedia
404,wikipedia,wikipedia
405,sur wikipédia,wikipedia
406,Wikipedia,wikipedia
407,Wikipédia ou internet,wikipedia
407,Wikipédia ou internet,internet
408,Wikipedia,wikipedia
410,wikipedia,wikipedia
411,Wikipédia,wikipedia
412,sur wikipédia,wikipedia
413,Wikipedia,wikipedia
414,Sur internet,internet
415,Wikipédia,wikipedia
416,Wikipedia,wikipedia
417,Wikipedia,wikipedia
418,sur wikipedia,wikipedia
419,WIkipédia,wikipedia
421,wikipedia,wikipedia
422,wikipedia,wikipedia
423,sur d'autre site mais aucun en particularité,autre
424,larousse,larousse
425,Wikipedia,wikipedia
426,wikipédia,wikipedia
427,Google,google
429,Wikipedia,wikipedia
430,wikipedia ou n'importe quel autre site,wikipedia
430,wikipedia ou n'importe quel autre site,autre
431,Wikipedia,wikipedia
433,sur wikipédia,wikipedia
434,Wikipedia,wikipedia
436,Sur Wikipedia où les articles sont plus complets mais moins accessibles et/ou des sites spécialisés,wikipedia
437,Wikipedia,wikipedia
438,Google,google
439,Google,google
440,Sur Babelio ou Wikipédia,wikipedia
441,Wikipedia,wikipedia
442,google,google
443,Wikipédia,wikipedia
444,Autres sites,autre
445,wikipédia ou internet selon les sujets...,wikipedia
445,wikipédia ou internet selon les sujets...,internet
446,Wikipedia,wikipedia
447,wikipédia,wikipedia
448,Autre site,autre
449,WIKIPEDIA,wikipedia
451,Beaucoup wikipédia,wikipedia
452,Sur Wikipédia.,wikipedia
453,wikipedia,wikipedia
454,Sur Wikipédia,wikipedia
455,Wikipedia,wikipedia
456,Wikipédia,wikipedia
458,Wikipédia,wikipedia
459,sur Wikipédia,wikipedia
460,Wikipédia,wikipedia
461,"Je ne commence pas par Vikidia, je vais sur Vikidia occasionnellement en plus d'autres informations.",autre
462,Google,google
463,Wikipédia cela peut-être plus complet du coup,wikipedia
464,Je navigue sur le net,net
466,Wikipedia,wikipedia
467,wikipédia,wikipedia
468,Wikipedia,wikipedia
469,"Wikipedia. Mais si l'article est trop compliqué (beaucoup d'articles utilisent des mots très poussés que la plupart des gens ne comprennent pas, malheureusement) je cherche d'autres sites.",wikipedia
469,"Wikipedia. Mais si l'article est trop compliqué (beaucoup d'articles utilisent des mots très poussés que la plupart des gens ne comprennent pas, malheureusement) je cherche d'autres sites.",autre
470,sur wikipédia,wikipedia
471,Wikipedia ou wikimini,wikipedia
471,Wikipedia ou wikimini,wikimini
472,Wikipedia,wikipedia
473,Opéra mini,opera mini
476,Wikipedia,wikipedia
478,sur wikipedia,wikipedia
480,Google,google
481,wikipedia,wikipedia
483,wikipédia,wikipedia
485,Wikipedia,wikipedia
486,"Je cherche sur """"google"""".",google
487,Wikipedia,wikipedia
488,Wikipédia,wikipedia
489,Wikipedia,wikipedia
490,Wikipédia,wikipedia
491,wikipedia,wikipedia
492,wikipedia,wikipedia
493,Wikipédia,wikipedia
495,Wikipedia,wikipedia
496,Wikipédia,wikipedia
500,Wikipédia,wikipedia
502,Wikipédia,wikipedia
503,sur d'autres sites de documentation,autre
504,Wikipédia,wikipedia
505,Google,google
506,Wikipédia,wikipedia
507,Sur Wikipédia.,wikipedia
508,wikipédia,wikipedia
509,"Sur,YouTube",youtube
510,Sur Wikipedia,wikipedia
511,Wikipedia ou Larousse encyclopédie,wikipedia
511,Wikipedia ou Larousse encyclopédie,larousse
511,Wikipedia ou Larousse encyclopédie,encyclopedie
512,wikipédia,wikipedia
513,Wikipédia,wikipedia
514,Wikipedia,wikipedia
516,wikipédia,wikipedia
517,Wikipedia,wikipedia
518,Sur d'autres sites,autre
519,Wikipedia,wikipedia
520,Wikipédia,wikipedia
521,Wikipédia,wikipedia
522,Wikipédia,wikipedia
523,Wikipedia ou Google,wikipedia
523,Wikipedia ou Google,google
525,Wikipedia,wikipedia
526,"Lorsque que je ne trouve pas certaines informations, je vais sur GOOGLE",google
527,Sur d'autre site ou sur Wikipedia,autre
527,Sur d'autre site ou sur Wikipedia,wikipedia
528,WIKIPEDIA,wikipedia
529,Wikipedia,wikipedia
530,Google,google
531,Sur dautres sites Internet qui sont en haut de la recherche,autre
531,Sur dautres sites Internet qui sont en haut de la recherche,internet
532,Internet,internet
533,Wikipédia,wikipedia
534,"wikipedia, puis sur internet via les moteurs de recherche",wikipedia
534,"wikipedia, puis sur internet via les moteurs de recherche",internet
535,Wikipedia et autres,wikipedia
535,Wikipedia et autres,autre
536,wikipedia,wikipedia
537,Google,google
538,wikipedia,wikipedia
539,moteur de recherche,moteur de recherche
540,Wikipedia,wikipedia
541,Wikipedia,wikipedia
542,Wikipédia,wikipedia
543,wikipedia,wikipedia
544,google,google
545,wikipédia,wikipedia
547,Wikipedia,wikipedia
548,Wikipédia,wikipedia
549,Wikipédia,wikipedia
550,wikipedia,wikipedia
551,Wikipedia,wikipedia
552,wikipedia,wikipedia
553,Wikipedia,wikipedia
554,wikipédia,wikipedia
555,Sur Wikipédia,wikipedia
556,wikipédia ou autres sites au hasard,wikipedia
556,wikipédia ou autres sites au hasard,autre
557,Wikipedia,wikipedia
558,Universalis ou Wikipédia,universalis
558,Universalis ou Wikipédia,wikipedia
559,wikipédia,wikipedia
560,"Recherche Google, Wikipedia, Futura sciences....",google
560,"Recherche Google, Wikipedia, Futura sciences....",wikipedia
561,Wikipédia,wikipedia
562,Sur Google,google
563,sur wikipédia,wikipedia
564,"Wikipédia, parfois des articles sur l’histoire dans le monde, Le Figaro, des sites comme Lumni ou autre",wikipedia
564,"Wikipédia, parfois des articles sur l’histoire dans le monde, Le Figaro, des sites comme Lumni ou autre",autre
565,Internet (moteur de recherche),internet
565,Internet (moteur de recherche),moteur de recherche
566,wikipedia,wikipedia
567,Wikipedia,wikipedia
569,Wikipedia,wikipedia
570,Wikipédia ou d'autres sites,wikipedia
570,Wikipédia ou d'autres sites,autre
571,livres,livres
574,Wikipédia,wikipedia
575,Wikipédia,wikipedia
576,google,google
577,wikipedia,wikipedia
578,wikipédia,wikipedia
579,Wikipédia,wikipedia
580,Wikipedia,wikipedia
581,wikipedia,wikipedia
584,Wikipédia,wikipedia
585,Wikipedia,wikipedia
586,universalis junior,universalis
588,Google,google
589,Wikipedia,wikipedia
590,Les sources de Wikipedia,wikipedia
591,Wikipédia,wikipedia
592,Wikipedia,wikipedia
595,livres de maths ou livres informatiques,livres
595,livres de maths ou livres informatiques,livres
596,WIKIPEDIA,wikipedia
597,google,google
598,google,google
599,Autre,autre
600,google,google
601,"Wikipédia, google",wikipedia
601,"Wikipédia, google",google
602,surgoogle,google
603,autre site,autre
604,Fandom,fandom
606,Je cherche d'autres sites mais vikidia est très utile,autre
607,wikipedia,wikipedia
608,sur des sites divers sur internet,internet
609,Wikipedia,wikipedia
610,google,google
611,Sur universalis ou cairn,universalis
612,Wikipedia,wikipedia
615,Wikipedia,wikipedia
616,Sur Wikimini mais c’est rare.,wikimini
617,sur wikipedia,wikipedia
618,sur wikipedia,wikipedia
619,Wikipédia,wikipedia
620,Wikipédia,wikipedia
621,Google,google
622,Wikipedia,wikipedia
623,Wikipédia,wikipedia
624,Wikipédia,wikipedia
625,Wikipedia,wikipedia
627,Wikipedia,wikipedia
628,Wikipédia,wikipedia
630,Wikipedia,wikipedia
632,google,google
633,Wikipédia,wikipedia
634,un site que le moteur de recherche me propose,moteur de recherche
635,Wikipedia,wikipedia
636,Wikipédia,wikipedia
637,Wikipédia,wikipedia
638,Internet,internet
639,bibliothèque,bibliotheque
640,Wikipédia,wikipedia
641,Sur d'autres sites,autre
643,Wikipedia,wikipedia
645,"Manuels scolaires en ligne, wikipédia, sites dédiés au sujet",wikipedia
647,Wikipedia,wikipedia
648,Wikipédia ou autres sites au hasard,wikipedia
648,Wikipédia ou autres sites au hasard,autre
649,ca dépend,ça depend
651,Wikipédia,wikipedia
652,Sur Wikipedia,wikipedia
653,Des autres sites,autre
655,Wikipedia ou sur un autre site,wikipedia
655,Wikipedia ou sur un autre site,autre
656,Sur d’autres sites,autre
658,Wikipedia,wikipedia
659,google,google
660,Wikipédia,wikipedia
661,Google,google
665,Google,google
666,wikipedia,wikipedia
667,google,google
668,Sur Wikipedia ;),wikipedia
669,wikipédia,wikipedia
671,Sur les pages que Google m'indique,google
672,Wikipedia ou Google,wikipedia
672,Wikipedia ou Google,google
673,Wikipedia,wikipedia
674,sur wikipedia,wikipedia
675,Wikipedia,wikipedia
676,Je vais seulement sur Wikipédia.,wikipedia
678,WIKIPEDIA,wikipedia
679,wikipedia,wikipedia
680,Wikipédia,wikipedia
681,Sur d'autres pages internet,autre
681,Sur d'autres pages internet,internet
682,Internet,internet
683,"autres sites de vulgarisation pour enfant : documentaire c'est pas sorcier, articles de presse pour enfant...",autre
684,Wikipédia puis des sites plus fiables pour vérifier mes données.,wikipedia
685,Wikipedia,wikipedia
687,wikipedia,wikipedia
688,Wikipédia,wikipedia
689,Wikipédia,wikipedia
692,Wikipédia,wikipedia
693,wikipedia,wikipedia
694,Wikipédia,wikipedia
695,Wikipédia,wikipedia
696,sur wikipédia,wikipedia
697,dans des livres,livres
698,wikipédia,wikipedia
700,Sur Google,google
701,Wikipedia,wikipedia
702,ça dépent de mes recherches,ça depend
703,wikipédia,wikipedia
704,Sur wikipédia,wikipedia
705,Wikipedia,wikipedia
706,D'autres sites,autre
707,Wikipédia,wikipedia
708,"Vidmate, youtube",youtube
709,Wikipédia,wikipedia
710,Sur Wikipedia,wikipedia
711,dans des livres ou magazines,livres
712,Wikipedia,wikipedia
713,Sur Wikipédia où je contribue assez souvent.,wikipedia
714,sur wikipédia,wikipedia
716,wikipedia,wikipedia
717,Wikipedia,wikipedia
718,Google scholar,google
719,Wikipedia,wikipedia
720,Wikipédia,wikipedia
721,wikipédia,wikipedia
722,GOOGLE,google
723,sur wikipédia ou n autre site selon ce que je trouve,wikipedia
723,sur wikipédia ou n autre site selon ce que je trouve,autre
724,wikipedia,wikipedia
725,Je vais presque sans réfléchir sur Wikipédia.,wikipedia
726,Wikipédia,wikipedia
727,Wikipedia,wikipedia
728,Autres sites,autre
729,Wikipédia ou autre,wikipedia
729,Wikipédia ou autre,autre
730,"Wikipédia, sites fiables",wikipedia
731,Wikipédia,wikipedia
733,Wikipedia,wikipedia
735,internet,internet
736,"Je ne vais pas par priorité sur Wikidia, je vais sur Google et ensuite je sélectionne les sites et liens",google
737,Wikipedia,wikipedia
738,Wikipédia,wikipedia
739,Wikipedia ou d'autres sites qui apparaissent sur la page de recherche google,wikipedia
739,Wikipedia ou d'autres sites qui apparaissent sur la page de recherche google,autre
739,Wikipedia ou d'autres sites qui apparaissent sur la page de recherche google,google
740,Sur Google,google
741,Wikipedia ou autre site,wikipedia
741,Wikipedia ou autre site,autre
743,sur Wikipédia,wikipedia
744,je vais sur Wikipédia,wikipedia
745,sur d'autres sites web,autre
746,wikipedia,wikipedia
747,Wikipedia,wikipedia
748,Wikipedia,wikipedia
749,Wikipedia,wikipedia
750,wikipédia,wikipedia
751,Wikipedia,wikipedia
752,autre,autre
753,Wikipedia,wikipedia
754,Wikipedia,wikipedia
755,wikipedia,wikipedia
756,Wikipedia,wikipedia
757,wikipedia,wikipedia
758,Cela dépend de ma recherche,ça depend
759,Sur google,google
760,Wikipedia,wikipedia
761,Wikipedia,wikipedia
762,Google ou Wikipédia,google
762,Google ou Wikipédia,wikipedia
763,Wikipedia,wikipedia
765,sir wikipédia,wikipedia
766,"Google, Wikipédia",google
766,"Google, Wikipédia",wikipedia
767,Wikipedia,wikipedia
768,Google ou Wikipedia,google
768,Google ou Wikipedia,wikipedia
769,d’autre sites,autre
770,Dans mon dico ou sur google ou sur wiki,google
771,wikipédia ou d'autre site.,wikipedia
771,wikipédia ou d'autre site.,autre
772,Wikipedia,wikipedia
773,wikipedia,wikipedia
774,Sur d'autres sites,autre
775,Wikipedia,wikipedia
776,Wikipedia,wikipedia
777,Wikipédia,wikipedia
778,sur wikipédia,wikipedia
779,wikimédia ou wikimini,wikimini
781,Wikipedia,wikipedia
782,Wikipédia,wikipedia
783,sur wikipédia,wikipedia
784,wikipedia,wikipedia
785,Wikipedia,wikipedia
786,"sur wikipedia ou cnrtl ou """"au petit bonheur"""" sur le net",wikipedia
786,"sur wikipedia ou cnrtl ou """"au petit bonheur"""" sur le net",net
787,Wikipédia,wikipedia
788,wikipedia,wikipedia
789,Wikipedia,wikipedia
790,Sur wikipédia ou sur d'autre site internet,wikipedia
790,Sur wikipédia ou sur d'autre site internet,autre
790,Sur wikipédia ou sur d'autre site internet,internet
791,Wikipedia,wikipedia
792,wikipedia,wikipedia
793,bah sur wikipédia connard,wikipedia
794,Google,google
795,wikipedia,wikipedia
796,internet,internet
797,wikipédia,wikipedia
798,Wikipédia,wikipedia
799,Wikipedia,wikipedia
